Common/Warning,"警 告"
CommandLineWindow/TooltipMessage/CurrentBranch(Detached),"當前 Git 分支：分離 HEAD（{CommandLineWindow/CurrentBranch}）"
CommandLineWindow/TooltipMessage/AutoComplete,"自動完成"
CommandLineWindow/AutoCompleteFeature/Title(Successful),"搜尋結果："
CommandLineWindow/AutoCompleteFeature/Title(Failed - NotFound),"沒有找到相關的結果！"
CommandLineWindow/AutoCompleteFeature/Title(Failed - TooMany),"搜尋結果過多！"
CommandLineWindow/TooltipMessage/ExecuteCommand,"執行指令"
CommandLineWindow/CommandHistoryDetailed/Title/Default,"點擊已輸入的指令"
CommandLineWindow/CommandHistoryDetailed/Title/Success,"指令執行成功"
CommandLineWindow/CommandHistoryDetailed/Title/Warning,"警告"
CommandLineWindow/CommandHistoryDetailed/Title/Error,"指令執行中止"
CommandLineWindow/CommandHistoryDetailed/Title/ExecutingCommand,"正在執行指令"
CommandLineWindow/CommandHistoryDetailed/Content/Default,"來觀看執行後的詳細訊息"
CommandLineWindow/CommandHistoryDetailed/Content/ExecutingCommand,"解析 <color="orange">'{playerInputText}'</color> 中"
CommandLineWindow/InputField/PlaceHolder,"點擊輸入指令..."
Loading Message Panel/Loading,"創建新的故事背景中"
Loading Message Panel/Completed,"創建完成！"
StageSummaryWindow/Title,"關 卡 結 算"
StageSummaryWindow/NewRecord,"新記錄！"
StageSummaryWindow/ObjectiveReview,"關 卡 目 標 回 顧"
StageSummaryWindow/ObjectiveClearTotalTime,"完成時間："
StageSummaryWindow/ObjectiveSpendTime,"花費時間（秒）："
StageSummaryWindow/Detailed/TotalStageTime,"完成關卡總時間"
StageSummaryWindow/Detailed/MissTimes,"操作失誤次數"
StageSummaryWindow/Detailed/GameManualUsedTimes,"查看遊戲手冊次數"
StageSummaryWindow/Detailed/CommandExecutedTimes,"指令執行次數"
StageSummaryWindow/Detailed/Perfect,"達成目標（完美）"
StageSummaryWindow/Detailed/Good,"達成目標（良好）"
StageSummaryWindow/Detailed/Hint,"達成目標（提示）"
StageSummaryWindow/Detailed/Answer,"達成目標（解答）"
StagingAreaWindow/Title,"暫 存 區 域"
StagingAreaWindow/CommandContentAndNum,"執行指令 ID 和內容："
StagingAreaWindow/StagedFile/Title,"已 追 蹤"
StagingAreaWindow/UnstagedFile/Title,"未 追 蹤"
SingleSelectionPopup/Title,"選 項"
SingleSelectionPopup/ReturnButton,"返回畫面"
SingleSelectionPopup/CommitMessagePopup/AcitveTitle,"請以下選項中選擇一個合適的提交訊息："
SingleSelectionPopup/CommitMessagePopup/CannotUseTitle,"當前目標不可以使用提交訊息功能！"
SingleSelectionPopup/CommitMessagePopup/WrongTitle,"好像不太適合！再嘗試一次吧！"
SingleSelectionPopup/CommitMessagePopup/CorrectTitle,"正確的選擇！您做的很棒！"
SingleSelectionPopup/BranchNamingPopup/CannotUseTitle,"當前目標不可以使用分支命名功能！"
SingleSelectionPopup/BranchNamingPopup/AcitveTitle,"請以下選項中選擇一個合適的分支名稱："
CommitHistoryWindow/Title,"提 交 記 錄"
CommitHistoryWindow/CommandContentAndNum,"執行指令 ID 和內容："
CommitHistoryWindow/LocalHistoryTitle,"本 地 提 交 記 錄"
CommitHistoryWindow/RemoteHistoryTitle,"遠 端 提 交 記 錄"
CommitHistoryWindow/Tooltip/Unlock/ID,"ID："
CommitHistoryWindow/Tooltip/Unlock/Tag,"標籤："
CommitHistoryWindow/Tooltip/Unlock/Branch,"分支："
CommitHistoryWindow/Tooltip/Unlock/Date,"日期："
CommitHistoryWindow/Tooltip/Unlock/Author,"作者："
CommitHistoryWindow/Tooltip/Unlock/Content,"內容："
CommitHistoryWindow/Tooltip/LockMessage,"遠端儲存庫有新的提交
請更新本地儲存庫來解鎖內容"
CommitHistoryWindow/TooltipMessage/Commit,"點擊觀看提交內容"
CommitHistoryWindow/TooltipMessage/RemoteButton(Enable),"點擊來展開/折疊遠端提交記錄面板"
CommitHistoryWindow/TooltipMessage/RemoteButton(Disable),"當前指令執行結果沒有遠端提交記錄"
CommitHistoryWindow/HEADTag/HEAD,"HEAD"
CommitHistoryWindow/HEADTag/Detached,"HEAD（分離）"
CommitHistoryWindow/Merge/MergeConflictHappened,"合併出現衝突！請試著解決以下文件衝突："
CommitHistoryWindow/Merge/MergeConflictResolved,"分支 '{CompareBranchName}' 已合併至分支 '{BaseBranchName}' 中"
BrowserWindow/Title,"網 頁 瀏 覽 器"
BrowserWindow/GitHubTopbarTitle/HomePage,"首頁"
BrowserWindow/GitHubTopbarTitle/CreateRepoPage,"創建儲存庫"
BrowserWindow/Common/AutoFillText,"自動填入文字"
BrowserWindow/Common/AfterQuestActiveMsg,"請在新增目標後點擊按鈕"
BrowserWindow/Common/SwitchBranchTitle,"切換分支"
BrowserWindow/Common/Default,"預設"
BrowserWindow/Common/BranchesCount,"個分支"
BrowserWindow/Common/CommitsCount,"個提交"
BrowserWindow/Common/Action,"選擇動作"
BrowserWindow/Common/Clone,"複製"
BrowserWindow/Common/CopyButton,"複製"
BrowserWindow/Common/DownloadZIP,"下載 ZIP"
BrowserWindow/Common/Filters,"篩選"
BrowserWindow/Common/NoREADME,"這個儲存庫沒有 README 檔案"
BrowserWindow/Common/CreatePullRequest,"創建 Pull Request"
BrowserWindow/OopsPage/Title,"Oops！找不到頁面"
BrowserWindow/OopsPage/Detailed,"目前無法開啟 Git 服務平台
請先完成當前目標吧！"
BrowserWindow/HomePage/Welcome,"歡迎使用 Git 服務平台！
讓我們開始使用遠端儲存庫吧"
BrowserWindow/HomePage/YourRepo,"您的儲存庫"
BrowserWindow/HomePage/New,"新 增"
BrowserWindow/HomePage/SearchRepo,"搜尋儲存庫..."
BrowserWindow/CreateRepoPage/Title,"創建一個新的儲存庫"
BrowserWindow/CreateRepoPage/Title(Detailed),"儲存庫含有專案中的所有文件，包括所有修改歷史。"
BrowserWindow/CreateRepoPage/OwnerTitle,"擁有者 *"
BrowserWindow/CreateRepoPage/RepoNameTitle,"儲存庫名稱 *"
BrowserWindow/CreateRepoPage/RepoName(Detailed),"好的儲存庫命名應該要簡短而易於記憶。"
BrowserWindow/CreateRepoPage/VisibilityTitle(Public),"公開"
BrowserWindow/CreateRepoPage/VisibilityDetailed(Public),"網絡上的任何人都可以看到這個儲存庫。您能夠決定哪些人可以提交。"
BrowserWindow/CreateRepoPage/VisibilityTitle(Private),"私人"
BrowserWindow/CreateRepoPage/VisibilityDetailed(Private),"您能夠選擇哪些人可以查看並提交到此儲存庫。"
BrowserWindow/CreateRepoPage/InitializeRepoTitle,"初始化儲存庫："
BrowserWindow/CreateRepoPage/InitializeRepo/AddREADME,"增加 README 檔案"
BrowserWindow/CreateRepoPage/InitializeRepo/AddREADME(Detailed),"可以用於描述這個專案。"
BrowserWindow/CreateRepoPage/CreateRepoButton,"創建儲存庫"
BrowserWindow/CreateRepoPage/Tooltip/WarningTitle,"請先完成以下條件："
BrowserWindow/CreateRepoPage/Tooltip/RepoName,"命名儲存庫名稱"
BrowserWindow/CreateRepoPage/Tooltip/README,"勾選 '增加 README 檔案'"
BrowserWindow/ClonePanel/SSH,"SSH 是一個比較高級的複製方式
但是需要額外的設置才可以使用此功能
在本遊戲裡，只需要使用 HTTP 來複製遠端儲存庫即可"
BrowserWindow/ClonePanel/ZIP,"'下載 ZIP' 和 '複製儲存庫指令' 的差異
'下載 ZIP' 只能複製並下載這個專案
但是無法與遠端儲存庫連接"
BrowserWindow/PRList/Opened,"正在進行中的請求"
BrowserWindow/PRList/Closed,"已經被合併或關閉的請求"
BrowserWindow/PRList/FilterDropDownTitle,"排序與篩選"
BrowserWindow/PRList/FilterDropDown,"排序與篩選 Pull Requests
勾選指定的 Pull Request 請求來給予它們不同的標記"
BrowserWindow/PRList/NoPR(Opened),"沒有正在進行的 Pull Requests"
BrowserWindow/PRList/NoPR(Closed),"找不到已完成的 Pull Requests"
BrowserWindow/PRList/CreateBy,"#{PRNUM} Pull Request 創建者："
BrowserWindow/PRList/NotTargetPRItem,"請根據當前目標查看指定的 Pull Request"
BrowserWindow/ComparePR/ChooseBranchTitle,"選擇要合併的兩個目標分支"
BrowserWindow/ComparePR/CreatePRTitle,"創建 Pull Request"
BrowserWindow/ComparePR/CanCreatePRMsg,"可以進行合併，比對分支時沒有發現合併衝突"
BrowserWindow/ComparePR/Warning(NeedCorrectBranch),"請根據當前目標選擇正確的分支！"
BrowserWindow/ComparePR/Warning(Swap),"請確認在合併時，哪一個分支要被設置成 Base 或者 Compare！"
BrowserWindow/ComparePR/Warning(Same),"請選擇兩個不同的目標分支！"
BrowserWindow/ComparePR/Title,"增加標題"
BrowserWindow/ComparePR/Des,"增加描述"
BrowserWindow/ComparePR/CreatePRButton/Tooltip/Title,"請先完成以下條件："
BrowserWindow/ComparePR/CreatePRButton/Tooltip/PRTitle,"Pull Request 標題"
BrowserWindow/ComparePR/CreatePRButton/Tooltip/PRDes,"Pull Request 描述"
BrowserWindow/PRDetailed/Goal1,"由"
BrowserWindow/PRDetailed/Goal2,"建立，目標是將分支 "
BrowserWindow/PRDetailed/Goal3," 合併至分支 "
BrowserWindow/PRDetailed/Conversation,"討論區"
BrowserWindow/PRDetailed/Commits,"新增提交"
BrowserWindow/PRDetailed/FilesChanged,"文件改動"
BrowserWindow/PRDetailed/Creator,"創建者"
BrowserWindow/PRDetailed/Reviewer,"審核人員"
BrowserWindow/PRDetailed/AuthorList,"審核人員列表"
BrowserWindow/PRDetailed/AddAuthorButton,"新增審核人員"
BrowserWindow/PRDetailed/MergePullRequest,"合併 Pull Request"
BrowserWindow/PRDetailed/CreatePRTitle,"創建了這個 Pull Request"
BrowserWindow/PRDetailed/FilesChanged/ReviewChangePopup/Warning(Msg),"請在文件內容裡新增修改建議！"
BrowserWindow/PRDetailed/FilesChanged/ReviewChangePopup/Warning(Review),"請填入審核訊息！"
BrowserWindow/PRDetailed/FilesChanged/ReviewChangePopup/Warning(Type),"請選擇正確的評論類型！"
BrowserWindow/PRDetailed/FilesChanged/ReviewChangePopup/Title,"完成您的審核"
BrowserWindow/PRDetailed/FilesChanged/ReviewChangePopup/Input,"填入審核訊息："
BrowserWindow/PRDetailed/FilesChanged/ReviewChangePopup/CommentTitle,"Comment（評論）"
BrowserWindow/PRDetailed/FilesChanged/ReviewChangePopup/CommentDes,"提供意見和建議，用於與開發人員討論內容"
BrowserWindow/PRDetailed/FilesChanged/ReviewChangePopup/ApproveTitle,"Approve（批准）"
BrowserWindow/PRDetailed/FilesChanged/ReviewChangePopup/ApproveDes,"批准本次合併請求"
BrowserWindow/PRDetailed/FilesChanged/ReviewChangePopup/RequestChangesTitle,"Request Changes（提出修改建議）"
BrowserWindow/PRDetailed/FilesChanged/ReviewChangePopup/RequestChangesDes,"指出需要做出修改，要求進行進一步的更改才能通過審核"
BrowserWindow/PRDetailed/FilesChanged/ReviewChangePopup/Submit,"提交審核"
BrowserWindow/PRDetailed/CreateCommitTitle,"創建了提交："
BrowserWindow/PRDetailed/GiveAdviceTitle,"提供了修改建議"
BrowserWindow/PRDetailed/ApprovePRTitle,"批准了這個 Pull Request 請求"
BrowserWindow/PRDetailed/RefreshButton,"重新整理頁面（更新團隊成員的動作）"
BrowserWindow/PRDetailed/FilesChanged/unfoldMsg,"展開對話"
BrowserWindow/PRDetailed/FilesChanged/foldMsg,"折疊對話"
BrowserWindow/PRDetailed/FilesChanged/ReplyMsg,"回覆訊息..."
BrowserWindow/PRDetailed/FilesChanged/ReplyButton,"回 覆"
BrowserWindow/PRDetailed/FilesChanged/ResolvedButton(Solve),"解決對話（Resolved Conversation）"
BrowserWindow/PRDetailed/FilesChanged/ResolvedButton(Unsolve),"標記對話為未解決（Unresolved Conversation）"
BrowserWindow/PRDetailed/FilesChanged/ResolvedButton(FollowQuest),"請根據當前目標執行正確的操作"
BrowserWindow/PRDetailed/FilesChanged/ResolvedButton(ReplyFirst),"請先回覆訊息"
BrowserWindow/PRDetailed/FilesChanged/ResolvedButton(SolveMsg),"已解決問題，不需要再標記為未解決"
BrowserWindow/PRDetailed/Common/Line,"行"
BrowserWindow/PRDetailed/Common/ChangedContent,"文件內容"
BrowserWindow/PRDetailed/FileChangedTextBox/Tooltip(NoChange),"此行內容不需要修改"
BrowserWindow/PRDetailed/FileChangedTextBox/Tooltip(Hover),"點擊此行來提出修改建議"
BrowserWindow/PRDetailed/FileChangedTextBox/Tooltip(Created),"已經創建修改建議！"
BrowserWindow/PRDetailed/ShortMsg/CreateCommit,"創建了新的提交"
BrowserWindow/PRDetailed/ShortMsg/MergePR,"合併了本次 Pull Request"
BrowserWindow/PRDetailed/PRProgressTextBox/Detailed/Title(Review),"請求需要審核"
BrowserWindow/PRDetailed/PRProgressTextBox/Detailed/Content(Review),"本次合併至少需要 1 位審核人員批准才可進行合併。"
BrowserWindow/PRDetailed/PRProgressTextBox/Detailed/Title(Ready),"獲得合併批准"
BrowserWindow/PRDetailed/PRProgressTextBox/Detailed/Content(Ready),"有 1 位審查人員批准了合併請求。"
BrowserWindow/PRDetailed/PRProgressTextBox/Detailed/Title(FileChange),"修改建議請求"
BrowserWindow/PRDetailed/PRProgressTextBox/Detailed/Content(FileChange),"需要解決下方列出的對話。"
BrowserWindow/PRDetailed/PRProgressTextBox/Conversation/Title(Ready),"所有對話已解決"
BrowserWindow/PRDetailed/PRProgressTextBox/Conversation/Content(Ready),"目前沒有未解決的對話。"
BrowserWindow/PRDetailed/PRProgressTextBox/Conversation/Title(Block),"未解決的對話"
BrowserWindow/PRDetailed/PRProgressTextBox/Conversation/Content(Block),"還需要解決 1 個對話才可以繼續進行合併。"
BrowserWindow/PRDetailed/PRProgressTextBox/Result/Title(Ready),"可以進行合併"
BrowserWindow/PRDetailed/PRProgressTextBox/Result/Content(Ready),"目標分支沒有發現文件衝突，並已經批准合併請求。"
BrowserWindow/PRDetailed/PRProgressTextBox/Result/Title(Block),"無法進行合併"
BrowserWindow/PRDetailed/PRProgressTextBox/Result/Content(Block),"當以上的問題都被解決後，即可進行合併。"
BrowserWindow/PRDetailed/PRProgressTextBox/MergeButton,"合併 Pull Request"
BrowserWindow/PRDetailed/PRProgressTextBox/ChangeRequest/Title,"需要解決的對話："
BrowserWindow/PRDetailed/PRProgressTextBox/ChangeRequest/Content,"提出的修改建議"
BrowserWindow/PRDetailed/PRProgressTextBox/ChangeRequest/MoveButton,"移動到該位置"
BrowserWindow/PRDetailed/PRProgressTextBox/ApproveRequest/Title,"審核人員批准了合併請求："
BrowserWindow/PRDetailed/PRProgressTextBox/ApproveRequest/Content,"批准合併請求"
BrowserWindow/PRDetailed/ReplyMsg(Pending)/Warning,"請到討論區進行回覆、解決對話等操作"
BrowserWindow/PRDetailed/ReplyMsg(Pending)/Resolved,"已解決此對話"
BrowserWindow/PRDetailed/MergeTitle,"合併 Pull Request #{NUM}"
HelpMessagePopup/HintFeature,"使用提示功能，遊戲會提供當前目標的提示。
但是本次目標的得分會<color=#CF001C>減半</color>。

請問您要開啟提示功能嗎？"
HelpMessagePopup/AnswerFeature,"使用解答功能後，遊戲會引導您完成當前目標
但是本次目標將<color=#CF001C>無法獲得得分</color>

請問您要開啟協助解答功能嗎？"
HelpMessagePopup/QuizFeature,"歡迎來到作答系統
本系統將會測驗您剛才學到的知識

如果開啟了本系統後
對話按鈕和遊戲手冊會<color=#CF001C>暫時禁止使用</color>"
ScoreStarIcon/Tooltip(Default),"完成此目標能獲得的評價：
'無'"
ScoreStarIcon/Tooltip(Perfect),"完成此目標能獲得的評價：
'完美達成目標'"
ScoreStarIcon/Tooltip(Good),"完成此目標能獲得的評價：
'完成目標，但過程中執行過錯誤操作'"
ScoreStarIcon/Tooltip(Hint),"完成此目標能獲得的評價：
'使用提示功能完成目標'"
ScoreStarIcon/Tooltip(Answer),"完成此目標能獲得的評價：
'使用解答功能完成此目標'"
TutorialPopup/Title,"教 學 視 窗"
GameManualPopup,"增加了新的內容"
