TooltipMessage/GameManualButton/Unlock,Hướng dẫn trò chơi
GameManualWindow/content/DefaultContent,"Bấm vào mục ở danh sách bên trái
để xem nội dung hướng dẫn"
GameManualItem/content/common/windowTitle,Cửa sổ giới thiệu
GameManualItem/content/common/knowledgeTitle,Giới thiệu kiến ​​thức
GameManualItem/content/common/errorMsgTitle,Cửa sổ bật lên thông báo lỗi
GameManualItem/content/common/commandTitle,Giới thiệu về loại lệnh
GameManualItem/content/common/commandDetailedTitle,Định dạng lệnh
GameManualItem/content/common/command/use,Mục đích
GameManualItem/content/common/command/scenario,kịch bản
GameManualItem/content/common/command/example,Ví dụ
GameManualItem/content/common/command/hint,Những điểm cần lưu ý về lệnh
GameManualItem/content/common/tipTitle,Mẹo:
GameManualWindow/Title,Hướng dẫn trò chơi
GameManualWindow/CategoryButton/Command,Lệnh
GameManualWindow/CategoryButton/RuleAndWindow,Quy tắc và cửa sổ
GameManualWindow/CategoryButton/VersionControl,Kiểm soát phiên bản
GameManualWindow/ListTitle/Command,Danh sách lệnh Git
GameManualWindow/ListTitle/RuleAndWindow,Quy tắc trò chơi và danh sách cửa sổ
GameManualWindow/ListTitle/VersionControl,Danh sách kiểm soát phiên bản
GameManualItem/content/git/1,"<color=#CF001C>git</color> là một trong những loại lệnh cơ bản nhất trong Git.
Khi thực thi các lệnh Git, bạn cần thêm <color=#CF001C>git</color> vào trường lệnh đầu tiên,
rồi thêm các loại lệnh khác (ví dụ: init, add) vào trường thứ hai.
Đối với loại lệnh <color=#CF001C>git</color>, bạn có thể thực thi nó chỉ bằng một trường lệnh.
Nó cũng có thể thêm các tham số khác vào trước lệnh để thực hiện các thao tác khác nhau.
Thông thường, lệnh <color=#CF001C>git</color> có thể được sử dụng trong các trường hợp sau:
1. Để kiểm tra phiên bản hiện tại của Git trên máy tính của bạn.
2. Hiểu các lệnh Git có sẵn và mục đích của từng lệnh."
GameManualItem/content/git/commandDetail/1,git <color=#CF001C>-h or --help</color>
GameManualItem/content/git/commandDetail/1/use,"Để hiểu phần giải thích ngắn gọn về tất cả các lệnh Git có sẵn.
Ngoài việc thực hiện lệnh này,
bạn cũng có thể biết thêm chi tiết từ trang web Git chính thức."
GameManualItem/content/git/commandDetail/1/scenario,"1. Khi cần ôn lại nội dung đã học trước đó.
2. Khi tra cứu cách sử dụng một lệnh cụ thể."
GameManualItem/content/git/commandDetail/1/example,"Khi Người dùng A gặp sự cố khi sử dụng Git, 
thực hiện lệnh sau để được trợ giúp:"
GameManualItem/content/git/commandDetail/1/exampleBox,git <color=#CF001C>--help</color>
GameManualItem/content/git/commandDetail/1/hint,"Trong trò chơi này, phần giải thích chi tiết về từng lệnh đều có trong sách hướng dẫn trò chơi.
Nếu bạn muốn tìm hiểu thêm về một lệnh cụ thể,
vui lòng nhấp vào nút hướng dẫn trò chơi hoặc thực hiện lệnh này để mở hướng dẫn."
GameManualItem/content/git/commandDetail/2,git <color=#CF001C>-v or --version</color>
GameManualItem/content/git/commandDetail/2/use,"Để kiểm tra phiên bản hiện tại của hệ thống Git được sử dụng trên máy tính của bạn, 
và xác nhận xem hệ thống đã được cài đặt chưa."
GameManualItem/content/git/commandDetail/2/scenario,"1. Trước khi bắt đầu sử dụng Git để quản lý dự án.
2. Khi cần xác nhận xem hệ thống Git đã được cài đặt trên máy tính hay chưa."
GameManualItem/content/git/commandDetail/2/example,"Khi Người dùng A muốn sử dụng Git để quản lý dự án,
thực hiện lệnh sau để xác nhận xem Git đã được cài đặt chưa:"
GameManualItem/content/git/commandDetail/2/exampleBox,git <color=#CF001C>--version</color>
GameManualItem/content/git/commandDetail/2/hint,"Không có điều gì đặc biệt cần chú ý, chỉ cần tuân theo các quy tắc nhập lệnh Git cơ bản.
vui lòng tham khảo 'Giới thiệu về lệnh Git' trong hướng dẫn sử dụng trò chơi."
GameManualItem/content/git init/1,"<color=#CF001C>git init</color> là một trong những loại lệnh cơ bản nhất trong Git.
Khi bạn muốn bắt đầu sử dụng Git để quản lý dự án của mình,
<color=#CF001C>git init</color> sẽ là lệnh đầu tiên bạn cần thực thi.
Thực hiện thành công, một thư mục ẩn có tên <color=#CF001C>.git</color> sẽ được tạo trong đường dẫn tệp bạn chỉ định.
Thư mục này là cốt lõi của hệ thống quản lý Git, lưu trữ các bản ghi của dự án.
Nếu không có thư mục này thì hầu hết các lệnh Git sẽ không hoạt động."
GameManualItem/content/git init/commandDetail/1,git init
GameManualItem/content/git init/commandDetail/1/use,Để tạo thư mục ẩn <color=#CF001C>.git</color> trong đường dẫn chứa dòng lệnh.
GameManualItem/content/git init/commandDetail/1/scenario,1. Khi bạn muốn bắt đầu sử dụng Git để quản lý dự án.
GameManualItem/content/git init/commandDetail/1/example,"Khi Người dùng A đang chuẩn bị sử dụng Git để quản lý dự án,
sau khi chọn đường dẫn dự án để quản lý, thực hiện lệnh sau:"
GameManualItem/content/git init/commandDetail/1/exampleBox,git init
GameManualItem/content/git init/commandDetail/1/hint,"<b>1. Đảm bảo đúng đường dẫn khi thực hiện lệnh:</b>
     Khi bạn thực thi <color=#CF001C>git init</color>,
     Git sẽ tạo một thư mục <color=#CF001C>.git</color> trong đường dẫn chứa dòng lệnh.
     Đảm bảo đường dẫn này khớp với dự án bạn muốn quản lý,
     để tránh những nhầm lẫn, rắc rối không cần thiết."
GameManualItem/content/git status/1,"<color=#CF001C>git status</color> là loại lệnh liên quan đến 'Staging Area'.
Với lệnh này,
bạn có thể kiểm tra trạng thái hiện tại của 'Staging Area' trong hệ thống quản lý Git.
Điều này giúp bạn hiểu tệp nào đã được sắp xếp, tệp nào đã được sửa đổi,
và liệu họ có sẵn sàng commit hay không."
GameManualItem/content/git status/1/tip,"Sử dụng Git trong kịch bản thực, kết quả thực thi lệnh sẽ hiển thị trong cửa sổ dòng lệnh.
Trong trò chơi này, đầu ra được chuyển vào cửa sổ 'Staging Area'.
Nó giúp xem nội dung dễ dàng hơn và thiết kế của cửa sổ tương tự như đầu ra thực tế."
GameManualItem/content/git status/commandDetail/1,git status
GameManualItem/content/git status/commandDetail/1/use,Mở cửa sổ 'Staging Area' và hiển thị trạng thái hiện tại của 'Staging Area'.
GameManualItem/content/git status/commandDetail/1/scenario,"1. Khi bạn cần kiểm tra trạng thái hiện tại của “Staging Area”.
2. Sau khi đẩy hoặc xóa tệp vào 'Staging Area'.
3. Xác nhận các tệp dàn dựng và trạng thái của chúng trước khi tạo một commit mới."
GameManualItem/content/git status/commandDetail/1/example,"Khi Người dùng A đẩy hoặc xóa các tệp đã sửa đổi khỏi 'Staging Area',
thực hiện lệnh sau để xem trạng thái của các tệp trong khu vực:"
GameManualItem/content/git status/commandDetail/1/exampleBox,git status
GameManualItem/content/git status/commandDetail/1/hint,"<b>1. Không thể cập nhật nội dung ngay lập tức:</b>
     Sau khi thực hiện các lệnh tương tác với “Staging Area”
     (ví dụ: git add, git reset, v.v.).
     Mặc dù trạng thái của tệp đã thay đổi nhưng không thể thấy ngay bản cập nhật trong cửa sổ.
     Vì vậy, sau khi thực hiện các lệnh này,
     vui lòng thực hiện lại lệnh <color=#CF001C>git status</color> để xem trạng thái mới nhất."
GameManualItem/content/git add/1,"<color=#CF001C>git add</color> là loại lệnh liên quan đến 'Staging Area'.
Với lệnh này, các tập tin sẽ được thêm nội dung từ thư mục làm việc vào 'Staging Area'.
Sau khi thêm thành công các tệp vào “Staging Area”, các tệp này sẽ được đánh dấu là “đã được dàn dựng”.
Chúng sẽ được đưa vào 'commit' tiếp theo (bản ghi phiên bản)."
GameManualItem/content/git add/commandDetail/1,git add <color=#CF001C>file_name</color>
GameManualItem/content/git add/commandDetail/1/use,Thêm các tệp cụ thể vào danh sách 'dàn dựng'.
GameManualItem/content/git add/commandDetail/1/scenario,1. Khi bạn muốn lưu các thay đổi vào một tệp cụ thể dưới dạng bản ghi.
GameManualItem/content/git add/commandDetail/1/example,"Khi Người dùng A đã hoàn tất sửa đổi 'Article_A.txt',
thực hiện lệnh sau để thêm tệp vào 'Staging Area':"
GameManualItem/content/git add/commandDetail/1/exampleBox,git add <color=#CF001C>Article_A.txt</color>
GameManualItem/content/git add/commandDetail/1/hint,"<b>1. Không thể cập nhật nội dung ngay lập tức:</b>
     Thực hiện lệnh xong không thấy ngay bản cập nhật.
     Vui lòng sử dụng lệnh <color=#CF001C>git status</color> để kiểm tra trạng thái 'Staging Area' mới nhất."
GameManualItem/content/git add/commandDetail/2,git add <color=#CF001C>directory_name</color>
GameManualItem/content/git add/commandDetail/2/use,Thêm tất cả các tệp trong một thư mục được chỉ định vào 'dàn dựng' cùng một lúc.
GameManualItem/content/git add/commandDetail/2/scenario,1. Khi bạn muốn thêm tất cả các file trong một thư mục vào “staged” cùng một lúc.
GameManualItem/content/git add/commandDetail/2/example,"Khi Người dùng A muốn thêm tất cả các tệp trong thư mục 'Website_Images' vào 'Staging Area' cùng một lúc.
thực hiện lệnh sau:"
GameManualItem/content/git add/commandDetail/2/exampleBox,git add <color=#CF001C>Website_Images</color>
GameManualItem/content/git add/commandDetail/3,git add <color=#CF001C>.</color>
GameManualItem/content/git add/commandDetail/3/use,Thêm tất cả các tệp theo đường dẫn hiện tại của dòng lệnh vào 'dàn dựng' cùng một lúc.
GameManualItem/content/git add/commandDetail/3/scenario,"1. Khi bạn muốn thêm tất cả các file trong toàn bộ thư mục làm việc vào “staged” cùng một lúc.
2. Khi khởi tạo dự án Git mới lần đầu tiên."
GameManualItem/content/git add/commandDetail/3/example,"Khi Người dùng A cần khởi tạo dự án Git mới.
Thêm tất cả các tệp trong thư mục làm việc vào 'Staging Area'.
Người dùng A có thể thực hiện lệnh sau:"
GameManualItem/content/git add/commandDetail/3/exampleBox,git add <color=#CF001C>.</color>
GameManualItem/content/git reset/1,"'git reset' là một loại lệnh mạnh mẽ.
Nó bao gồm các lĩnh vực như 'Staging Area' và 'Lịch sử commit'.
Trong quá trình phát triển dự án, nếu bạn không muốn thêm một số tệp vào 'Staging Area',
bạn có thể sử dụng lệnh này để di chuyển các tệp từ khu vực 'được tổ chức' trở lại khu vực 'không được tổ chức'."
GameManualItem/content/git reset/commandDetail/1,git reset <color=#CF001C>file_name</color>
GameManualItem/content/git reset/1/tip,"Sử dụng Git trong các tình huống thực tế,
<color=#CF001C>git reset</color> không chỉ có chức năng trên mà còn xóa các xác nhận trong 'Lịch sử commit'.
Tuy nhiên, xem xét tính không thể đảo ngược và độ phức tạp của việc xóa các commit,
trò chơi này loại bỏ tính năng 'xóa commit' để đảm bảo chất lượng học tập."
GameManualItem/content/git reset/commandDetail/1/use,Để di chuyển các tệp được chỉ định từ khu vực 'được tổ chức' trở lại khu vực 'không được tổ chức'.
GameManualItem/content/git reset/commandDetail/1/scenario,1. Khi bạn không muốn đặt các tập tin đã sửa đổi vào 'Staging Area'.
GameManualItem/content/git reset/commandDetail/1/example,"Khi Người dùng A vô tình đẩy một tệp quan trọng vào 'Staging Area',
thực hiện lệnh sau để di chuyển nó trở lại khu vực 'chưa được phân loại':"
GameManualItem/content/git reset/commandDetail/1/exampleBox,git reset <color=#CF001C>Secret_Document.txt</color>
GameManualItem/content/git reset/commandDetail/1/hint,"<b>1. Không thể cập nhật nội dung ngay lập tức:</b>
     Thực hiện lệnh xong không thấy ngay bản cập nhật.
     Vui lòng sử dụng lệnh <color=#CF001C>git status</color> để kiểm tra trạng thái 'Staging Area' mới nhất."
GameManualItem/content/git reset/commandDetail/2,git reset <color=#CF001C>directory_name</color>
GameManualItem/content/git reset/commandDetail/2/use,Di chuyển tất cả các tệp trong một thư mục được chỉ định từ khu vực 'được tổ chức' trở lại khu vực 'không được tổ chức'.
GameManualItem/content/git reset/commandDetail/2/scenario,1. Khi bạn muốn di chuyển tất cả các tệp trong một thư mục cụ thể trở lại khu vực 'chưa được phân loại' cùng một lúc.
GameManualItem/content/git reset/commandDetail/2/example,"Khi Người dùng A không muốn chuyển các tệp lớn trong một thư mục vào 'Staging Area',
thực hiện lệnh sau để di chuyển chúng trở lại khu vực 'chưa được phân loại':"
GameManualItem/content/git reset/commandDetail/2/exampleBox,git reset <color=#CF001C>Uncompressed_Images</color>
GameManualItem/content/git reset/commandDetail/3,git reset <color=#CF001C>.</color>
GameManualItem/content/git reset/commandDetail/3/use,"Di chuyển tất cả các tệp theo đường dẫn hiện tại của dòng lệnh 
từ khu vực 'dàn dựng' trở lại khu vực 'không dàn dựng'."
GameManualItem/content/git reset/commandDetail/3/scenario,1. Khi bạn muốn di chuyển tất cả các tệp trong toàn bộ dự án trở lại khu vực 'unstaged' cùng một lúc.
GameManualItem/content/git reset/commandDetail/3/example,"Khi Người dùng A cần di chuyển các tệp của nhiều thư mục trở lại khu vực 'chưa được phân loại' cùng một lúc,
thực hiện lệnh sau:"
GameManualItem/content/git reset/commandDetail/3/exampleBox,git reset <color=#CF001C>.</color>
GameManualItem/content/git commit/1,"<color=#CF001C>git commit</color> là loại lệnh liên quan đến 'Lịch sử commit'.
Lệnh này tích hợp các sửa đổi trong 'Staging Area' thành một 'commit' mới,
và lưu trữ nó trong khu vực 'Lịch sử commit' của 'Kho lưu trữ'.
Để thực thi thành công <color=#CF001C>git commit</color>, phải đạt được hai điều kiện sau:
1. Ít nhất một tệp đã được thêm vào 'Staging Area'.
2. Cung cấp thông điệp commit ngắn gọn và có ý nghĩa.
Lệnh này giúp các nhà phát triển tổ chức công việc của họ,
cho phép theo dõi tốt hơn các thay đổi phiên bản khác nhau và mục đích của chúng."
GameManualItem/content/git commit/commandDetail/1,"git commit <color=#CF001C>-m or --message</color> <color=""#173D91"">""thông điệp commit""</color>"
GameManualItem/content/git commit/commandDetail/1/use,"Để tích hợp các sửa đổi trong 'Staging Area' vào một 'commit' mới,
trong khi cung cấp một thông điệp commit để giải thích những thay đổi."
GameManualItem/content/git commit/commandDetail/1/scenario,1. Khi bạn quyết định lưu các sửa đổi trong 'Staging Area' dưới dạng 'commit'.
GameManualItem/content/git commit/commandDetail/1/example,"Người dùng A gần đây đã phát triển một tính năng mới và thêm các tệp vào 'Staging Area',
Đã thực hiện lệnh sau để tạo một 'commit' mới:"
GameManualItem/content/git commit/commandDetail/1/exampleBox,"git commit <color=#CF001C>-m</color> <color=""#173D91"">""Đã thêm tính năng từ khóa tìm kiếm.""</color>"
GameManualItem/content/git commit/commandDetail/1/hint/1,"<b>1. Thông báo commit phải được đặt trong dấu ngoặc kép <color=#CF001C>""</color>:</b>
     Lệnh Git sử dụng khoảng trắng để phân tách các trường lệnh khác nhau.
     Việc sử dụng dấu ngoặc kép đảm bảo thông điệp commit được xem như một trường lệnh.
<b>2. Thông điệp commit phải cụ thể và rõ ràng:</b>
     Để mọi người nhanh chóng hiểu được nội dung và mục đích của từng 'commit',
     vui lòng đảm bảo rằng thông điệp commit bạn điền vào là cụ thể và rõ ràng.
<b>3. Cách điền nhanh thông điệp commit trong trò chơi này:</b>
     Trò chơi này cung cấp một cách để nhanh chóng điền vào các thông điệp commit,
     vui lòng làm theo các bước sau để thực hiện lệnh chính xác:"
GameManualItem/content/git commit/commandDetail/1/hint/2,1. Nhập lệnh sau vào dòng lệnh:
GameManualItem/content/git commit/commandDetail/1/hint/3,"git commit <color=#CF001C>-m</color> <color=""#173D91"">""""</color>"
GameManualItem/content/git commit/commandDetail/1/hint/4,"2. Giữ con trỏ sau cặp dấu ngoặc kép rỗng, rồi nhấn phím Tab hoặc biểu tượng kính lúp bên cạnh dòng lệnh.
        3. Trong cửa sổ hiện ra, chọn thông điệp mô tả chính xác nhất thay đổi vừa thực hiện.
        4. Trò chơi sẽ tự động điền thông điệp vào giữa hai dấu ngoặc kép. Sau đó, nhấn Enter để chạy lệnh."
GameManualItem/content/git commit/commandDetail/1/hint/5,"Thực hiện theo các bước trên,
     bạn có thể dễ dàng thực thi lệnh <color=#CF001C>git commit</color> và gửi các sửa đổi của mình."
GameManualItem/content/git log/1,"<color=#CF001C>git log</color> là loại lệnh được sử dụng rộng rãi.
Nó liên quan đến 'Lịch sử commit', 'Quản lý chi nhánh' và 'Quản lý từ xa'.
Chức năng chính của loại lệnh này là 
cho phép bạn hiểu trạng thái 'Lịch sử commit' trong hệ thống quản lý Git hiện tại.
'Lịch sử commit' là một khu vực trong 'Kho lưu trữ' được sử dụng để lưu trữ tất cả các commit của một dự án."
GameManualItem/content/git log/1/tip,"Sử dụng Git trong kịch bản thực tế, kết quả được hiển thị trong cửa sổ dòng lệnh.
Trò chơi này tích hợp nội dung đầu ra vào cửa sổ 'Lịch sử commit'.
Điều này giúp xem nội dung dễ dàng hơn và thiết kế của cửa sổ tương tự như đầu ra thực tế.
Nó cũng tích hợp các kết quả đầu ra khác nhau của các tham số <color=#CF001C>git log</color>."
GameManualItem/content/git log/commandDetail/1,git log
GameManualItem/content/git log/commandDetail/1/use,Mở cửa sổ 'Lịch sử commit' và hiển thị trạng thái 'Lịch sử commit' hiện tại.
GameManualItem/content/git log/commandDetail/1/scenario,"1. Khi bạn muốn kiểm tra trạng thái hiện tại của 'Lịch sử commit'.
2. Sau khi tạo một commit mới.
3. Sau khi chuyển sang một commit khác.
4. Để xem trạng thái của các nhánh kho lưu trữ cục bộ.
5. Để xem trạng thái của các nhánh kho lưu trữ từ xa."
GameManualItem/content/git log/commandDetail/1/example,"Khi Người dùng A hoàn thành một tính năng mới và commit thành công,
thực hiện lệnh sau để xem trạng thái 'Lịch sử commit' hiện tại:"
GameManualItem/content/git log/commandDetail/1/exampleBox,git log
GameManualItem/content/git log/commandDetail/1/hint/1,"<b>1. Không thể cập nhật nội dung ngay lập tức:</b>
     Khi thực thi các lệnh ảnh hưởng đến “Lịch sử commit”
     (ví dụ: git commit, git checkout, v.v.).
     Mặc dù nó được thực thi thành công nhưng không thể thấy bản cập nhật trong cửa sổ ngay lập tức.
     Do đó, sau khi thực hiện các lệnh này, hãy sử dụng lại <color=#CF001C>git log</color> để kiểm tra trạng thái mới nhất.
<b>2. Thiết kế cửa sổ 'Lịch sử commit':</b>
     Trong trò chơi này, kết quả đầu ra của lệnh <color=#CF001C>git log</color>
     được tích hợp vào một cửa sổ có tên 'Lịch sử commit'.
     Sử dụng Git trong kịch bản thực tế, 
     bạn cần nhập lệnh sau để đạt được hiệu quả tương tự:"
GameManualItem/content/git log/commandDetail/1/hint/2,"git log <color=#CF001C>--oneline</color> <color=""#173D91"">--all</color> <color=#244B0E>--graph</color>"
GameManualItem/content/git log/commandDetail/1/hint/3,"Chức năng của các tham số này như sau:
     <color=#CF001C>--oneline</color> chỉ hiển thị 'ID commit' và 'thông điệp commit'.
     <color=""#173D91"">--all</color> hiển thị 'Lịch sử commit' của tất cả các nhánh.
     <color=#244B0E>--graph</color> hiển thị mối quan hệ giữa các 'commit' bằng đồ họa."
GameManualItem/content/git checkout/1,"<color=#CF001C>gitcheck</color> là loại lệnh được sử dụng rộng rãi.
Nó liên quan đến 'Lịch sử commit' và 'Quản lý chi nhánh'.
Lệnh này cho phép bạn chuyển đổi giữa các commit hoặc nhánh khác nhau,
và cũng đồng bộ hóa nội dung tệp trong 'Thư mục làm việc'."
GameManualItem/content/git checkout/commandDetail/1,git checkout <color=#CF001C>commit_ID</color>
GameManualItem/content/git checkout/commandDetail/1/use,"Di chuyển HEAD tới một 'commit' được chỉ định, khôi phục dự án về phiên bản của commit đó."
GameManualItem/content/git checkout/commandDetail/1/scenario,"1. Để kiểm tra các thay đổi trong các 'commit' khác nhau.
2. Để sửa các lỗi phát hiện ở phiên bản mới nhất."
GameManualItem/content/git checkout/commandDetail/1/example,"Khi Người dùng A cần quay lại phiên bản trước để kiểm tra nguyên nhân xảy ra lỗi.
Sau khi xác nhận ID commit cụ thể (ví dụ: 123abc),
thực hiện lệnh sau:"
GameManualItem/content/git checkout/commandDetail/1/exampleBox,git checkout <color=#CF001C>123abc</color>
GameManualItem/content/git checkout/commandDetail/1/hint,"<b>1. Sau khi xem xong quay lại đúng nhánh để tiếp tục phát triển:</b>
     Khi HEAD trỏ đến 'commit', thay vì 'chi nhánh'.
     Đây được gọi là trạng thái 'tách rời HEAD'.
     Ở trạng thái này, các 'commit' mới không được tạo trên bất kỳ nhánh nào.
     Điều này có thể dẫn đến việc mất 'commit'.
     Để duy trì quản lý dự án, sau khi xem nội dung,
     vui lòng sử dụng lệnh <color=#CF001C>git checkout branch_name</color> để trỏ HEAD trở lại một nhánh."
GameManualItem/content/git checkout/commandDetail/2,git checkout <color=#CF001C>branch_name</color>
GameManualItem/content/git checkout/commandDetail/2/use,"Trỏ HEAD tới một 'nhánh' được chỉ định.
HEAD sẽ chuyển sang 'commit' mới nhất của chi nhánh đó, cho phép bạn tiếp tục phát triển dự án."
GameManualItem/content/git checkout/commandDetail/2/scenario,"1. Tiếp tục phát triển trên một nhánh cụ thể.
2. Khi chuẩn bị thực hiện sáp nhập chi nhánh."
GameManualItem/content/git checkout/commandDetail/2/example,"Khi Người dùng A hoàn tất việc xem lại nội dung của phiên bản trước,
và cần tiếp tục phát triển trên nhánh 'chính',
thực hiện lệnh sau để chuyển nhánh:"
GameManualItem/content/git checkout/commandDetail/2/exampleBox,git checkout <color=#CF001C>master</color>
GameManualItem/content/git checkout/commandDetail/2/hint,"<b>1. Hãy nhận biết chi nhánh hiện tại:</b>
     Trong quá trình phát triển dự án, việc phát triển các tính năng trên nhánh không chính xác là điều bình thường.
     Để tránh nhầm lẫn không cần thiết,
     vui lòng đảm bảo bạn đang ở đúng nhánh trước khi phát triển các tính năng."
GameManualItem/content/git branch/1,"<color=#CF001C>git branch</color> là loại lệnh liên quan đến 'Quản lý chi nhánh' và 'Quản lý từ xa'.
Lệnh này thực hiện các hoạt động quản lý chi nhánh khác nhau,
bao gồm xem, thêm, xóa, v.v.
Ngoài ra, với các thông số cụ thể, bạn có thể xem các nhánh từ xa trong kho lưu trữ từ xa.
Nó thường được sử dụng kết hợp với loại lệnh <color=#CF001C>gitcheck</color>."
GameManualItem/content/git branch/commandDetail/1,git branch
GameManualItem/content/git branch/commandDetail/1/use,"Để xem tên của tất cả các nhánh cục bộ trong kho lưu trữ cục bộ hiện tại.
Nó cũng hiển thị vị trí HEAD hiện tại trong 'nhánh' hoặc 'commit'."
GameManualItem/content/git branch/commandDetail/1/scenario,"1. Để xác nhận vị trí hiện tại của HEAD.
2. Để xem các nhánh cục bộ nào có trong kho lưu trữ."
GameManualItem/content/git branch/commandDetail/1/example,"Khi Người dùng A cần xem tất cả các nhánh trong kho lưu trữ cục bộ và vị trí của HEAD.
Người dùng A có thể thực hiện lệnh sau:"
GameManualItem/content/git branch/commandDetail/1/exampleBox,git branch
GameManualItem/content/git branch/commandDetail/1/hint,"<b>1. Sự khác biệt so với lệnh <color=#CF001C>git log</color>:</b>
     Mặc dù cả hai lệnh đều có thể xem các nhánh nhưng mục đích của chúng là khác nhau.
     <color=#CF001C>git log</color> được sử dụng để xem 'Lịch sử commit' của các nhánh.
     <color=#173D91>git branch</color> được sử dụng để xem tất cả các nhánh trong kho lưu trữ."
GameManualItem/content/git branch/commandDetail/2,git branch <color=#CF001C>branch_name</color>
GameManualItem/content/git branch/commandDetail/2/use,"Để tạo một nhánh cục bộ mới.
Nhánh này sẽ dựa trên 'commit' của HEAD hiện tại,
và sẽ chứa tất cả các commit cũ hơn trước nó."
GameManualItem/content/git branch/commandDetail/2/scenario,"1. Khi cần khắc phục sự cố trong dự án.
2. Khi cần phát triển các tính năng mới trong dự án."
GameManualItem/content/git branch/commandDetail/2/example,"Khi Người dùng A cần phát triển một tính năng mới trong dự án,
thực hiện lệnh sau để tạo một nhánh mới:"
GameManualItem/content/git branch/commandDetail/2/exampleBox,git branch <color=#CF001C>new-feature</color>
GameManualItem/content/git branch/commandDetail/2/hint,"<b>1. Sau khi tạo nhánh thì chuyển sang nhánh đó:</b>
     Lệnh này chỉ được sử dụng để tạo các nhánh.
     Để phát triển trên nhánh mới được tạo,
     vui lòng sử dụng lệnh <color=#CF001C>gitcheck</color> để chuyển sang nhánh đó.
<b>2. Tên chi nhánh phải cụ thể và rõ ràng:</b>
     Để giúp bản thân và nhóm của bạn nhanh chóng hiểu được nội dung và mục đích của chi nhánh,
     hãy đảm bảo tên chi nhánh là cụ thể và rõ ràng."
GameManualItem/content/git branch/commandDetail/3,"git branch <color=#CF001C>-d or --delete</color> <color=""#173D91"">branch_name</color>"
GameManualItem/content/git branch/commandDetail/3/use,Để xóa một nhánh cục bộ được chỉ định khỏi kho lưu trữ cục bộ.
GameManualItem/content/git branch/commandDetail/3/scenario,1. Khi chi nhánh đã hoàn thành mục tiêu và sáp nhập vào chi nhánh chính.
GameManualItem/content/git branch/commandDetail/3/example,"Khi Người dùng A đã hợp nhất nhánh phát triển tính năng vào nhánh chính,
thực hiện lệnh sau để xóa nhánh:"
GameManualItem/content/git branch/commandDetail/3/exampleBox,"git branch <color=#CF001C>-d</color> <color=""#173D91"">new-feature</color>"
GameManualItem/content/git branch/commandDetail/3/hint,"<b>1. Trước khi xóa một nhánh, hãy đảm bảo HEAD đã di chuyển đến vị trí khác:</b>
     Để thực hiện thành công lệnh xóa nhánh,
     vui lòng đảm bảo HEAD được chuyển sang chi nhánh hoặc commit khác."
GameManualItem/content/git branch/commandDetail/4,git branch <color=#CF001C>-r or --remote</color>
